Company's Daily Share Prices (Closing) and Highest - Lowest price of the date,,,,,,,,,,
Company Id,:  AAIC,Security,Type :  N,Sub T,ype :  0000,,,,,
Short Name,:  ASIAN A,LLIANCE,,,,,,,,
-----------,----------,-------------,------------,-----------,-----------,---------,----------------,--------------------,------------,-------
Day,Date high,High,Date Low,Low,Closing,Trades(No.), Shares(No.),Turnover(Rs.),Last Traded,Days Traded
2007-12-07 00:00:00,2007-12-07 00:00:00,20.5,2007-12-07 00:00:00,20,20,5,2300,46150,2007-12-07 00:00:00,1
2007-12-10 00:00:00,2007-12-10 00:00:00,20,2007-12-10 00:00:00,19.75,20,2,700,13975,2007-12-10 00:00:00,1
2007-12-11 00:00:00,2007-12-11 00:00:00,20,2007-12-11 00:00:00,19.75,20,5,5700,113325,2007-12-11 00:00:00,1
2007-12-12 00:00:00,2007-12-12 00:00:00,20.75,2007-12-12 00:00:00,20,20,6,3400,68150,2007-12-12 00:00:00,1
2007-12-13 00:00:00,2007-12-13 00:00:00,20,2007-12-13 00:00:00,20,20,1,500,10000,2007-12-13 00:00:00,1
2007-12-14 00:00:00,2007-12-14 00:00:00,22,2007-12-14 00:00:00,21.25,21.5,5,2100,45475,2007-12-14 00:00:00,1
2007-12-17 00:00:00,2007-12-17 00:00:00,21,2007-12-17 00:00:00,20,20.5,6,2900,58875,2007-12-17 00:00:00,1
2007-12-18 00:00:00,2007-12-18 00:00:00,20.25,2007-12-18 00:00:00,20,20.25,5,2900,58700,2007-12-18 00:00:00,1
2007-12-19 00:00:00,2007-12-19 00:00:00,21.25,2007-12-19 00:00:00,20,20.25,20,25400,516125,2007-12-19 00:00:00,1
2007-12-20 00:00:00,2007-12-20 00:00:00,20.75,2007-12-20 00:00:00,20.25,20.25,9,7100,144625,2007-12-20 00:00:00,1
2007-12-24 00:00:00,2007-12-24 00:00:00,20.25,2007-12-24 00:00:00,20,20,14,16500,331275,2007-12-24 00:00:00,1
2007-12-26 00:00:00,2007-12-26 00:00:00,20.25,2007-12-26 00:00:00,20,20,13,14100,282250,2007-12-26 00:00:00,1
2007-12-27 00:00:00,2007-12-27 00:00:00,20,2007-12-27 00:00:00,19.75,19.75,9,11400,227700,2007-12-27 00:00:00,1
2007-12-28 00:00:00,2007-12-28 00:00:00,20.75,2007-12-28 00:00:00,20,20,31,30200,605825,2007-12-28 00:00:00,1
2007-12-31 00:00:00,2007-12-31 00:00:00,20,2007-12-31 00:00:00,19.75,20,5,1400,27950,2007-12-31 00:00:00,1
