Daily high low and closing share prices - 2009,,,,,,,,,,
Day,Date High,Low,Date Low,Low,Closing,No. of Trades,No. of Shares,Turnover,Last Traded,Days Traded
2009-11-17 00:00:00,2009-11-17 00:00:00,19.5,2009-11-17 00:00:00,19,19.25,63,182100,3515925,2009-11-17 00:00:00,1
2009-11-18 00:00:00,2009-11-18 00:00:00,19.5,2009-11-18 00:00:00,18.75,18.75,24,16700,315475,2009-11-18 00:00:00,1
2009-11-19 00:00:00,2009-11-19 00:00:00,19,2009-11-19 00:00:00,18.25,18.25,57,94700,1736550,2009-11-19 00:00:00,1
2009-11-20 00:00:00,2009-11-20 00:00:00,18.5,2009-11-20 00:00:00,18,18.25,18,34100,622300,2009-11-20 00:00:00,1
2009-11-23 00:00:00,2009-11-23 00:00:00,18.5,2009-11-23 00:00:00,18.25,18.25,33,129800,2372375,2009-11-23 00:00:00,1
2009-11-24 00:00:00,2009-11-24 00:00:00,19,2009-11-24 00:00:00,17.75,17.75,67,103400,1858250,2009-11-24 00:00:00,1
2009-11-25 00:00:00,2009-11-25 00:00:00,18,2009-11-25 00:00:00,17.25,17.5,43,63200,1108900,2009-11-25 00:00:00,1
2009-11-26 00:00:00,2009-11-26 00:00:00,17.75,2009-11-26 00:00:00,17.5,17.75,15,26100,462450,2009-11-26 00:00:00,1
2009-11-27 00:00:00,2009-11-27 00:00:00,18.25,2009-11-27 00:00:00,18,18.25,33,33300,603525,2009-11-27 00:00:00,1
2009-11-30 00:00:00,2009-11-30 00:00:00,18.5,2009-11-30 00:00:00,18.25,18.5,20,89000,1645350,2009-11-30 00:00:00,1
2009-12-02 00:00:00,2009-12-02 00:00:00,19,2009-12-02 00:00:00,18.25,18.75,48,65800,1220000,2009-12-02 00:00:00,1
2009-12-03 00:00:00,2009-12-03 00:00:00,20,2009-12-03 00:00:00,18.75,19.75,129,244100,4771075,2009-12-03 00:00:00,1
2009-12-04 00:00:00,2009-12-04 00:00:00,20,2009-12-04 00:00:00,19.25,19.5,42,77900,1511675,2009-12-04 00:00:00,1
2009-12-07 00:00:00,2009-12-07 00:00:00,19.75,2009-12-07 00:00:00,19.25,19.5,26,16100,314400,2009-12-07 00:00:00,1
2009-12-08 00:00:00,2009-12-08 00:00:00,20,2009-12-08 00:00:00,19.5,19.75,136,331600,6585275,2009-12-08 00:00:00,1
2009-12-09 00:00:00,2009-12-09 00:00:00,20.25,2009-12-09 00:00:00,19.75,20,117,280000,5570150,2009-12-09 00:00:00,1
2009-12-10 00:00:00,2009-12-10 00:00:00,20,2009-12-10 00:00:00,19.5,19.75,31,36700,724675,2009-12-10 00:00:00,1
2009-12-11 00:00:00,2009-12-11 00:00:00,20,2009-12-11 00:00:00,19.5,19.5,24,10100,198550,2009-12-11 00:00:00,1
2009-12-14 00:00:00,2009-12-14 00:00:00,19.75,2009-12-14 00:00:00,19.25,19.25,23,22100,430425,2009-12-14 00:00:00,1
2009-12-15 00:00:00,2009-12-15 00:00:00,20,2009-12-15 00:00:00,19.25,19.75,37,31600,622975,2009-12-15 00:00:00,1
2009-12-16 00:00:00,2009-12-16 00:00:00,20,2009-12-16 00:00:00,19.5,19.5,54,390300,7657400,2009-12-16 00:00:00,1
2009-12-17 00:00:00,2009-12-17 00:00:00,20.5,2009-12-17 00:00:00,19.75,20.25,110,304600,6105925,2009-12-17 00:00:00,1
2009-12-18 00:00:00,2009-12-18 00:00:00,21,2009-12-18 00:00:00,20.25,20.5,93,186500,3839675,2009-12-18 00:00:00,1
2009-12-21 00:00:00,2009-12-21 00:00:00,21.5,2009-12-21 00:00:00,19.75,21.25,185,566500,11871325,2009-12-21 00:00:00,1
2009-12-22 00:00:00,2009-12-22 00:00:00,21.5,2009-12-22 00:00:00,20.75,20.75,110,265200,5580075,2009-12-22 00:00:00,1
2009-12-23 00:00:00,2009-12-23 00:00:00,21.25,2009-12-23 00:00:00,20.5,20.75,101,252700,5260125,2009-12-23 00:00:00,1
2009-12-24 00:00:00,2009-12-24 00:00:00,20.75,2009-12-24 00:00:00,20.25,20.75,21,52200,1079925,2009-12-24 00:00:00,1
2009-12-28 00:00:00,2009-12-28 00:00:00,22.75,2009-12-28 00:00:00,20.75,22.25,427,1614800,35305125,2009-12-28 00:00:00,1
2009-12-29 00:00:00,2009-12-29 00:00:00,22.75,2009-12-29 00:00:00,22,22.25,132,246700,5533650,2009-12-29 00:00:00,1
2009-12-30 00:00:00,2009-12-30 00:00:00,22.5,2009-12-30 00:00:00,21.75,22.5,118,409700,9131225,2009-12-30 00:00:00,1
Company Id,:  KOTA,Security,Type :  N,Sub T,ype :  0000,,,,,
Short Name,:  KOTAGAL,A,,,,,,,,
