Public Holding 2020Q2 (DATA as per latest CSE records),,,
QUARTER,COMPANY_NAME,SECURITY,PUBLIC_FLOAT
2020-2,UDAPUSSELLAWA  PLANTATIONS PLC,UDPL.N0000,0.1
2020-2,UNION ASSURANCE PLC,UAL.N0000,0.1
2020-2,UNION BANK OF COLOMBO PLC,UBC.N0000,0.2916
2020-2,UNION CHEMICALS LANKA PLC,UCAR.N0000,0.2591
2020-2,UNISYST ENGINEERING PLC,ALUF.N0000,0.3737
2020-2,UNITED MOTORS LANKA PLC,UML.N0000,0.259
2020-2,VALLIBEL FINANCE PLC,VFIN.N0000,0.2121
2020-2,VALLIBEL ONE PLC,VONE.N0000,0.1932
2020-2,VALLIBEL POWER ERATHNA PLC,VPEL.N0000,0.4052
2020-2,VANIK INCORPORATION PLC,VANI.N0000,0
2020-2,VIDULLANKA PLC,VLL.N0000,0.279
2020-2,WASKADUWA BEACH RESORT PLC,CITW.N0000,0.0201
2020-2,WATAWALA  PLANTATIONS  PLC,WATA.N0000,0.2576
2020-2,YORK ARCADE HOLDINGS PLC,YORK.N0000,0.4847
