symbol,yahoo_symbol,status_code,bar_count,first_date,last_date,has_2026_rows,invalid_ohlc_rows,latest_close,error
RHTL.N0000,RHTL-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,29.5,
RICH.N0000,RICH-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,34.599998474121094,
RIL.N0000,RIL-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,34.0,
RPBH.N0000,RPBH-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,63.29999923706055,
RWSL.N0000,RWSL-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,22.0,
SAMP.N0000,SAMP-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,164.0,
SCAP.N0000,SCAP-N0000.CM,200,104,2026-01-02,2026-05-29,True,0,9.600000381469727,
SDB.N0000,SDB-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,69.19999694824219,
SDF.N0000,SDF-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,39.70000076293945,
SEMB.N0000,SEMB-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,1.0,
SEMB.X0000,SEMB-X0000.CM,200,104,2026-01-02,2026-05-29,True,0,0.30000001192092896,
SERV.N0000,SERV-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,18.700000762939453,
SEYB.N0000,SEYB-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,112.5,
SEYB.X0000,SEYB-X0000.CM,200,104,2026-01-02,2026-05-29,True,1,78.9000015258789,
SFCL.N0000,SFCL-N0000.CM,200,105,2026-01-02,2026-05-29,True,3,819.75,
SFIN.N0000,SFIN-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,56.0,
SHAW.N0000,SHAW-N0000.CM,200,104,2026-01-02,2026-05-29,True,0,242.0,
SHL.N0000,SHL-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,7.699999809265137,
SHOT.N0000,SHOT-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,20.899999618530273,
SHOT.X0000,SHOT-X0000.CM,200,104,2026-01-02,2026-05-29,True,1,15.800000190734863,
SIGV.N0000,SIGV-N0000.CM,200,104,2026-01-02,2026-05-29,True,0,16.100000381469727,
SIL.N0000,SIL-N0000.CM,200,104,2026-01-02,2026-05-29,True,3,598.5,
SING.N0000,SING-N0000.CM,200,106,2026-01-02,2026-05-29,True,0,50.900001525878906,
SINH.N0000,SINH-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,21.5,
SINS.N0000,SINS-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,87.30000305175781,
SIRA.N0000,SIRA-N0000.CM,200,104,2026-01-02,2026-05-29,True,2,35.79999923706055,
SLND.N0000,SLND-N0000.CM,200,104,2026-01-02,2026-05-29,True,12,1987.0,
SLTL.N0000,SLTL-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,97.0999984741211,
SMOT.N0000,SMOT-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,1579.75,
SOY.N0000,SOY-N0000.CM,200,104,2026-01-02,2026-05-29,True,3,2500.25,
SPEN.N0000,SPEN-N0000.CM,200,104,2026-01-02,2026-05-29,True,0,159.0,
STAF.N0000,STAF-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,52.29999923706055,
SUN.N0000,SUN-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,33.099998474121094,
SWAD.N0000,SWAD-N0000.CM,404,0,,,False,0,,HTTP status 404
TAFL.N0000,TAFL-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,650.0,
TAJ.N0000,TAJ-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,37.0,
TANG.N0000,TANG-N0000.CM,200,104,2026-01-02,2026-05-29,True,3,125.5,
TAP.N0000,TAP-N0000.CM,200,106,2026-01-02,2026-05-29,True,1,39.79999923706055,
TESS.N0000,TESS-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,2.0999999046325684,
TESS.X0000,TESS-X0000.CM,200,104,2026-01-02,2026-05-29,True,1,1.5,
