Dividend Records - 2010,,,,,,
Date of Announcement,Security,Rate & Remarks,Date of Ex,Date of Payment,Cum Price,Ex Price
2010-11-08 00:00:00,HNB-N-00,INTERIM DIVIDEND OF RS. 1.50 PER SHARE ,2010-11-18 00:00:00,2010-11-24 00:00:00,405.5,410
2010-11-08 00:00:00,LWL-N-00,INTERIM DIVIDEND OF RS. 1.00 PER SHARE ,2010-11-18 00:00:00,2010-11-29 00:00:00,98.6,97.9
2010-11-11 00:00:00,CTC-N-00,THIRD INTERIM DIVIDEND OF 5.00 PER SHARE(LWT),2010-11-23 00:00:00,2010-11-30 00:00:00,327.2,350.6
2009-12-28 00:00:00,VLL-N-00,INTERIM DIVIDEND OF RS.0.50 PER SHARE,2010-01-08 00:00:00,2010-01-18 00:00:00,36.25,34.5
2010-03-25 00:00:00,NEST-N-0,SECOND INTERIM DIVIDEND OF RS. 10.00 PER SHARE,2010-04-07 00:00:00,2010-04-20 00:00:00,500,509
2010-03-26 00:00:00,NEST-N-0,FINAL DIVIDEND OF RS. 11.00 PER SHARE,2010-06-14 00:00:00,2010-06-22 00:00:00,632.5,610
2010-05-25 00:00:00,NHL-N-00,INTERIM DIVIDEND OF RS.0.05 PER SHARE,2010-06-07 00:00:00,2010-06-15 00:00:00,6,6
2010-05-25 00:00:00,KOTA-N-0,FIRST & FINAL DIVIDEND OF RS.3.00 PER SHARE,2010-07-01 00:00:00,2010-07-09 00:00:00,68.25,66.5
2010-05-25 00:00:00,AHPL-N-0,FINAL DIVIDEND OF RS.1.00 PER SHARE,2010-06-07 00:00:00,2010-06-16 00:00:00,145.5,148.5
2010-05-25 00:00:00,SPEN-N-0,FINAL DIVIDEND OF RS.6.50 PER SHARE,2010-06-30 00:00:00,2010-07-08 00:00:00,1607.75,1610
2010-05-25 00:00:00,AHUN-N-0,FIRST & FINAL DIVIDEND OF RS.1.50 PER SHARE,2010-06-30 00:00:00,2010-07-08 00:00:00,407.75,415
2010-05-26 00:00:00,TILE-N-0,SECOND INTERIM DIVIDEND OF RS.2.50 PER SHARE,2010-06-08 00:00:00,2010-06-17 00:00:00,98.75,98
2010-06-29 00:00:00,CTLD-N-0,FINAL DIVIDEND OF RS.0.60 PER SHARE ,2010-08-13 00:00:00,2010-08-20 00:00:00,25,24
2010-09-02 00:00:00,CFLB-N-0,FIRST & FINAL DIVIDEND OF RS.0.50 PER SHARE  ,2010-10-12 00:00:00,2010-10-20 00:00:00,180,172.9
2010-03-26 00:00:00,JINS-N-0,INTERIM DIVIDEND OF RS.1.00 PER SHARE,2010-04-08 00:00:00,2010-04-21 00:00:00,15,14.25
2010-03-26 00:00:00,RCL-N-00,INTERIM DIVIDEND OF RS.2.50 PER SHARE ,2010-04-08 00:00:00,2010-04-19 00:00:00,116,117.25
2010-04-05 00:00:00,EAST-N-0,INTERIM DIVIDEND OF RS. 1.00 PER SHARE,2010-04-16 00:00:00,2010-04-27 00:00:00,14.25,13.25
2010-05-14 00:00:00,MGT-N-00,FINAL DIVIDEND OF RS.1.50 PER SHARE ,2010-06-22 00:00:00,2010-06-30 00:00:00,47,46
2010-05-20 00:00:00,CHMX-N-0,FINAL DIVIDEND OF RS. 1.50 PER SHARE ,2010-07-01 00:00:00,2010-07-09 00:00:00,143,131.5
2010-05-20 00:00:00,CFIN-N-0,SECOND INTERIM DIVIDEND OF RS. 1.25 PER SHARE ,2010-06-02 00:00:00,2010-06-11 00:00:00,400,400
