,,,,DIVIDEND ANNOUNCEMENTS 2016,,,,,,
DATE OF ANNOUNCEMENT, SECURITY, SHORT NAME,RATE OF DIVIDEND,REMARKS, DATE OF EX,DATE OF PAYMENT, CUM PRICE,EX_PRICE,,
2016-06-03 00:00:00, PCHH-N-0000, ADAM CAPITAL,0.1, (Dates) Rs. 0.10 Per Share / Final & Final Dividend  Financial Year: - 2015/2016 , 03-OCT-16, 11-OCT-16,1.9,1.8,,
2016-06-03 00:00:00, SFIN-N-0000, SINGER FINANCE,1.5, Rs.1.50 Per Share Final Dividend - Fy 2015/2016 , 14-JUN-16, 20-JUN-16,23,21.4,,
2016-06-06 00:00:00, AMCL-N-0000, CAPITAL LEASING,1.55, Final Dividend Of Rs.1.55 Per Share - Fy 2015, 15-JUN-16, 24-JUN-16, , ,,
2016-06-07 00:00:00, GUAR-N-0000, CEYLON GUARDIAN,3, First & Final / Rs.3.00 (Would Not be Subject to Dividend Tax of 10%)FY 2015/2016, 27-JUL-16, 04-AUG-16,143,143,,
2016-06-07 00:00:00, BREW-N-0000, CEYLON BEVERAGE,3, First & Final / Rs.3.00 Per Share Would Not Be Subject To Dividend Tax - Fy 2015/2016, 21-JUL-16, 29-JUL-16,650.5,601,,
2016-06-07 00:00:00, CDB-N-0000, CDB,3.5, Rs.3.50 Per Share Voting And Non Voting - Fy 2015/2016 First And Final, 01-JUL-16, 12-JUL-16,83,81,,
2016-06-07 00:00:00, LION-N-0000, LION  BREWERY,3, First & Final Dividend Of Rs.3.00  (Would  Be Subject To 10% Dividend Tax) - FY 2015/2016, 21-JUL-16, 29-JUL-16,380.1,380,,
2016-06-08 00:00:00, LLUB-N-0000, CHEVRON,5, Rs.5.00 Per Share Second Interim - FY 2016, 17-JUN-16, 28-JUN-16,170,165,,
2016-06-08 00:00:00, PARQ-N-0000, SWISSTEK,1, (Dates) Rs. 1.00 Per Share / Final Dividend . Financial Year: - 2015/2016 , 30-JUN-16, 11-JUL-16,63,61.9,,
2016-06-10 00:00:00, CARG-N-0000, CARGILLS,2.25, Rs.2.25 Per Share - Out of Dividend Income Net of Tax - Final Dividend - FY 2015/2016, 04-JUL-16, 13-JUL-16,153,152.9,,
2016-06-10 00:00:00, CFIN-N-0000, CENTRAL FINANCE,2, Rs.2.00 Per Share -( Dates )- Fy 2015/2016 Final Dividend, 18-JUL-16, 20-JUL-16,222.7,112,,
2016-06-13 00:00:00, MULL-N-0000, MULLERS & PHIPPS,0.07, First & Final Dividend Of Rs.0.07 Per Share - Fy 2015/2016, 13-JUL-16, 22-JUL-16,1.3,1.3,,
