Dividend Records - 2009,,,,,,,
Date of Announcement,Security,Company Name,Rate & Remarks,Date of Ex,Date of Payment,Cum Price,Ex Price
2009-07-08 00:00:00,SOY-N-0000,CONVENIENCE FOODS LANKA PLC,FIRST & FINAL DIVIDEND OF RS.2.25 PER SHARE,2009-08-07 00:00:00,2009-08-17 00:00:00,97,85.25
2009-07-13 00:00:00,ASHO-N-0000,LANKA ASHOK LEYLAND PLC,FIRST & FINAL DIVIDEND OF RS.7.50 PER SHARE,2009-09-22 00:00:00,2009-09-28 00:00:00,425,415
2009-07-13 00:00:00,ONAL-N-0000,ON'ALLY HOLDINGS PLC,FINAL DIVIDEND OF RS.1.35 PER SHARE,2009-07-22 00:00:00,2009-07-31 00:00:00,32,32.25
2009-07-14 00:00:00,SMOT-N-0000,SATHOSA MOTORS PLC,FINAL DIVIDEND OF RS.6.00 PER SHARE,2009-08-31 00:00:00,2009-09-09 00:00:00,114,105.25
2009-07-20 00:00:00,CINV-N-0000,CEYLON INVESTMENT PLC,FIRST INTERIM DIVIDEND OF RS.7.00 PER SHARE,2009-07-29 00:00:00,2009-08-07 00:00:00,124.5,112.75
2009-07-20 00:00:00,GUAR-N-0000,CEYLON GUARDIAN INVESTMENT TRUST PLC,FIRST INTERIM DIVIDEND OF RS.11.50 PER SHARE,2009-07-29 00:00:00,2009-08-07 00:00:00,220,205.25
2009-07-21 00:00:00,LLUB-N-0000,CHEVRON LUBRICANTS  LANKA  PLC,SECOND INTERIM DIVIDEND OF RS.3.50 PER SHARE,2009-07-30 00:00:00,2009-08-11 00:00:00,131.25,128
2009-07-22 00:00:00,VLL-N-0000,VIDULLANKA PLC,FINAL DIVIDEND OF RS0.60 PER SHARE,2009-08-21 00:00:00,2009-08-31 00:00:00,26.5,25
2009-07-27 00:00:00,AMSL-N-0000,ASIRI SURGICAL HOSPITAL PLC,INTERIM DIVIDEND OF RS.0.075 PER SHARE ,2009-08-06 00:00:00,2009-08-13 00:00:00,8.75,8.5
2009-07-27 00:00:00,ASIR-N-0000,ASIRI HOSPITALS PLC,INTERIM DIVIDEND OF RS.0.75 PER SHARE ,2009-08-06 00:00:00,2009-08-17 00:00:00,68,65
2009-07-27 00:00:00,PMB-N-0000,PEOPLE`S MERCHANT BANK PLC,FINAL DIVIDEND OF RS0.40 PER SHARE,2009-09-30 00:00:00,2009-10-08 00:00:00,43,42
2009-07-28 00:00:00,CTC-N-0000,CEYLON TOBACCO COMPANY PLC,SECOND INTERIM DIVIDEND OF RS.4.00 PER SHARE,2009-08-07 00:00:00,2009-08-14 00:00:00,138.25,139.75
2009-07-29 00:00:00,TILE-N-0000,LANKA TILES PLC,FINAL DIVIDEND OF RS. 1.60 PER SHARE,2009-08-03 00:00:00,2009-08-12 00:00:00,45.5,44.5
2009-08-11 00:00:00,CFIN-N-0000,CENTRAL FINANCE COMPANY PLC,FINAL DIVIDEND OF RS.2.50 PER SHARE,2009-09-07 00:00:00,2009-09-15 00:00:00,250,251
2009-08-14 00:00:00,COCO-N-0000,COCO LANKA PLC,DIVIDEND OF RS.1.00 PER SHARE,2009-09-24 00:00:00,2009-09-28 00:00:00,33,31.5
2009-08-14 00:00:00,RHL-N-0000,RENUKA HOLDINGS PLC,DIVIDEND OF RS.2.00 PER SHARE,2009-09-24 00:00:00,2009-09-30 00:00:00,85,70.75
2009-08-17 00:00:00,HARI-N-0000,HARISCHANDRA MILLS PLC,FINAL DIVIDEND OF RS.25.00 PER SHARE,2009-09-14 00:00:00,2009-09-23 00:00:00,750,750
2009-08-17 00:00:00,MORI-X-0000,"J.L.MORISON, SON & JONES (CEYLON) PLC (X)",FIRST & FINAL DIVIDEND OF RS.11.00 PER SHARE,2009-09-28 00:00:00,2009-10-05 00:00:00,420,400
2009-08-17 00:00:00,MORI-N-0000,"J.L.MORISON, SON & JONES (CEYLON) PLC (N)",FIRST & FINAL DIVIDEND OF RS.11.00 PER SHARE,2009-09-28 00:00:00,2009-10-05 00:00:00,450,430
2009-08-17 00:00:00,RPBH-N-0000,ROYAL PALMS BEACH HOTELS PLC,FIRST & FINAL DIVIDEND OF RS.0.20 PER SHARE,2009-09-28 00:00:00,2009-10-06 00:00:00,64.25,67
2009-08-18 00:00:00,CARS-N-0000,CARSON CUMBERBATCH PLC,FINAL DIVIDEND OF RS.1.00 PER SHARE,2009-09-22 00:00:00,2009-09-30 00:00:00,264,260
2009-08-19 00:00:00,LALU-N-0000,LANKA ALUMINIUM INDUSTRIES PLC,FIRST & FINAL DIVIDEND OF RS.0.75 PER SHARE,2009-09-30 00:00:00,2009-10-08 00:00:00,28.25,28.25
2009-08-20 00:00:00,DIST-N-0000,DISTILLERIES COMPANY OF SRI LANKA PLC,FIRST & FINAL DIVIDEND OF RS.2.25 PER SHARE,2009-09-30 00:00:00,2009-10-08 00:00:00,86.25,85
2009-08-21 00:00:00,CABO-N-0000,CARGO BOAT DEVELOPMENT COMPANY PLC,FIRST & FINAL DIVIDEND OF RS.1.00 PER SHARE,2009-09-25 00:00:00,2009-09-30 00:00:00,57.75,56
2009-08-21 00:00:00,CPRT-N-0000,CEYLON PRINTERS PLC,FINAL DIVIDEND OF RS.10.00 PER SHARE,2009-11-03 00:00:00,2009-11-06 00:00:00,62,
2009-08-21 00:00:00,OFEQ-N-0000,OFFICE EQUIPMENT PLC,FINAL DIVIDEND OF RS.15.00 PER SHARE,2009-11-03 00:00:00,2009-11-06 00:00:00,80.25,
2009-08-21 00:00:00,PARA-N-0000,PARAGON CEYLON PLC,FINAL DIVIDEND OF RS.2.50 PER SHARE,2009-11-03 00:00:00,2009-11-06 00:00:00,211.5,150
2009-08-21 00:00:00,RENU-N-0000,RENUKA CITY HOTELS PLC.,FIRST & FINAL DIVIDEND OF RS.5.00 PER SHARE,2009-09-25 00:00:00,2009-09-30 00:00:00,190,185.75
2009-08-24 00:00:00,APLA-N-0000,ACL PLASTICS PLC,INTERIM DIVIDEND OF RS.0.75 PER SHARE,2009-09-02 00:00:00,2009-09-11 00:00:00,39.75,39.25
2009-08-24 00:00:00,PHAR-N-0000,THE COLOMBO PHARMACY COMPANY PLC,FINAL DIVIDEND OF RS.3.75 PER SHARE,2009-10-01 00:00:00,2009-10-09 00:00:00,300,290
2009-08-25 00:00:00,ALLI-N-0000,ALLIANCE FINANCE COMPANY PLC,FIRST & FINAL DIVIDEND OF RS.3.50 PER SHARE,2009-09-30 00:00:00,2009-10-08 00:00:00,347.5,398
2009-08-25 00:00:00,ARPI-N-0000,ARPICO FINANCE COMPANY PLC,FIRST & FINAL DIVIDEND OF RS.1.50 PER SHARE,2009-10-01 00:00:00,2009-10-09 00:00:00,41.75,44.75
